Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
deepdta,P00918,Lyase,256,1.28,1.639,0.142,0.127,0.083,0.541,0.007
deepdta,P01116,Hydrolase,32,1.033,1.067,0.344,0.395,0.246,0.623,0.118
deepdta,P03372,Transcription factor,64,1.963,3.852,-0.675,-0.689,-0.502,0.248,-0.234
deepdta,P04629,Kinase,19,0.561,0.314,0.889,0.854,0.673,0.836,0.521
deepdta,P06276,Hydrolase,112,1.227,1.506,0.093,0.117,0.08,0.54,0.002
deepdta,P07333,Kinase,25,2.073,4.298,0.174,0.074,0.037,0.519,0.016
deepdta,P08183,Transporter,83,1.925,3.707,-0.029,-0.008,-0.012,0.494,0.0
deepdta,P08684,Cytochrome p450,36,1.972,3.888,-0.692,-0.689,-0.464,0.268,-0.319
deepdta,P08908,Family A G protein-coupled receptor,46,0.875,0.765,0.559,0.528,0.324,0.662,0.276
deepdta,P0DTD1,Transferase,698,1.224,1.499,0.257,0.223,0.153,0.576,0.039
deepdta,P10275,Transcription factor,36,1.33,1.768,-0.058,-0.085,-0.065,0.467,-0.0
deepdta,P14416,Family A G protein-coupled receptor,126,1.088,1.184,0.015,0.022,0.017,0.508,0.0
deepdta,P17931,Unclassified protein,37,1.428,2.04,-0.204,-0.103,-0.05,0.475,-0.05
deepdta,P21728,Family A G protein-coupled receptor,18,1.096,1.201,-0.359,-0.261,-0.163,0.418,0.039
deepdta,P22303,Hydrolase,102,2.301,5.296,0.413,0.441,0.302,0.651,0.162
deepdta,P23458,Kinase,43,3.441,11.843,-0.024,0.041,0.021,0.511,0.0
deepdta,P24941,Kinase,30,1.22,1.489,0.491,0.35,0.214,0.607,0.141
deepdta,P27338,Oxidoreductase,91,1.42,2.016,-0.118,-0.133,-0.091,0.455,0.004
deepdta,P28223,Family A G protein-coupled receptor,54,0.954,0.91,0.593,0.462,0.329,0.665,0.348
deepdta,P28335,Family A G protein-coupled receptor,22,1.59,2.527,0.319,0.299,0.196,0.598,0.049
deepdta,P28907,Hydrolase|Transferase,12,2.527,6.385,-0.662,-0.361,-0.246,0.375,-0.257
deepdta,P29274,Family A G protein-coupled receptor,40,1.406,1.977,0.251,0.192,0.132,0.566,0.024
deepdta,P29597,Kinase,21,0.966,0.932,0.35,0.423,0.319,0.662,0.083
deepdta,P31153,Transferase,33,0.92,0.846,0.743,0.703,0.5,0.751,0.52
deepdta,P34972,Family A G protein-coupled receptor,27,1.246,1.553,0.051,0.02,0.026,0.513,0.001
deepdta,P35372,Family A G protein-coupled receptor,34,2.208,4.875,0.179,0.165,0.178,0.589,0.021
deepdta,P35408,Family A G protein-coupled receptor,54,2.131,4.539,-0.355,-0.264,-0.193,0.401,0.038
deepdta,P35462,Family A G protein-coupled receptor,65,1.572,2.471,0.004,-0.094,-0.07,0.465,0.0
deepdta,P36544,Ion channel,31,0.791,0.626,0.004,0.052,0.028,0.514,0.0
deepdta,P37231,Transcription factor,15,1.739,3.025,-0.441,-0.467,-0.317,0.34,-0.053
deepdta,P41143,Family A G protein-coupled receptor,41,1.132,1.281,0.101,-0.086,-0.076,0.462,0.005
deepdta,P41145,Family A G protein-coupled receptor,34,1.715,2.942,0.078,0.131,0.091,0.545,0.005
deepdta,P42330,Oxidoreductase,60,1.475,2.176,-0.166,-0.128,-0.078,0.461,-0.009
deepdta,P42336,Transferase,38,1.647,2.714,-0.132,-0.148,-0.113,0.443,0.002
deepdta,P42345,Kinase,52,1.123,1.261,0.299,0.313,0.203,0.602,0.046
deepdta,P42866,Family A G protein-coupled receptor,32,1.013,1.027,-0.212,-0.039,-0.012,0.494,-0.007
deepdta,P43166,Lyase,116,1.629,2.653,-0.02,-0.089,-0.074,0.463,0.0
deepdta,P43490,Unclassified protein,17,3.213,10.327,0.884,0.253,0.209,0.606,0.677
deepdta,P49759,Kinase,20,1.09,1.188,-0.196,-0.04,-0.021,0.489,0.008
deepdta,P49841,Kinase,16,1.055,1.112,0.624,0.459,0.343,0.672,0.235
deepdta,P50406,Family A G protein-coupled receptor,76,1.01,1.021,0.085,0.094,0.069,0.534,0.003
deepdta,P51449,Transcription factor,59,0.796,0.634,0.112,0.181,0.114,0.557,0.009
deepdta,P52333,Kinase,20,1.368,1.871,0.62,0.431,0.328,0.665,0.38
deepdta,Q00987,Other nuclear protein,88,1.24,1.539,0.773,0.715,0.513,0.757,0.418
deepdta,Q03111,Epigenetic regulator,45,1.168,1.365,0.227,0.093,0.056,0.528,0.023
deepdta,Q03181,Transcription factor,18,1.778,3.163,-0.293,-0.139,-0.124,0.438,0.017
deepdta,Q06124,Phosphatase,32,1.213,1.472,0.157,0.256,0.23,0.615,0.016
deepdta,Q12809,Ion channel,95,2.911,8.473,0.146,0.143,0.092,0.546,0.012
deepdta,Q13546,Kinase,47,1.538,2.365,0.407,0.323,0.215,0.608,0.017
deepdta,Q13547,Epigenetic regulator,31,1.7,2.891,-0.197,-0.205,-0.162,0.419,0.009
deepdta,Q13627,Kinase,18,0.811,0.657,-0.254,-0.162,-0.124,0.438,-0.024
deepdta,Q15910,Epigenetic regulator,36,1.065,1.133,0.203,0.258,0.213,0.607,0.013
deepdta,Q16790,Lyase,203,1.147,1.315,0.192,0.278,0.18,0.59,0.001
deepdta,Q72547,Hydrolase,23,2.178,4.742,-0.284,-0.27,-0.15,0.425,-0.001
deepdta,Q92918,Kinase,132,0.902,0.814,0.099,0.106,0.07,0.535,0.004
deepdta,Q96P20,Unclassified protein,69,1.212,1.468,0.334,0.419,0.285,0.643,0.094
deepdta,Q96SW2,Unclassified protein,21,1.197,1.432,-0.042,0.098,0.072,0.537,-0.0
deepdta,Q99538,Protease,40,1.601,2.565,0.048,0.02,0.028,0.514,0.0
deepdta,Q9NXA8,Epigenetic regulator,36,1.886,3.557,-0.345,-0.362,-0.248,0.375,-0.038
ensemble,C7C422,Hydrolase,22,1.22,1.488,0.189,0.18,0.121,0.561,0.027
ensemble,O00444,Kinase,92,1.085,1.177,0.532,0.455,0.3,0.65,0.21
ensemble,O43570,Lyase,189,0.747,0.557,0.129,0.11,0.078,0.539,0.009
ensemble,O60341,Epigenetic regulator,70,0.98,0.961,0.168,0.139,0.089,0.545,0.014
ensemble,O60674,Kinase,22,0.549,0.301,0.548,0.614,0.436,0.719,0.3
ensemble,O60885,Epigenetic regulator,175,1.204,1.45,0.6,0.604,0.422,0.711,0.348
ensemble,O75116,Kinase,43,0.959,0.92,0.281,0.22,0.142,0.571,0.069
ensemble,O75874,Oxidoreductase,27,1.21,1.463,0.54,0.573,0.431,0.716,0.253
ensemble,O94925,Hydrolase,73,0.457,0.209,0.583,0.537,0.374,0.687,0.31
ensemble,O96028,Epigenetic regulator,30,0.612,0.374,0.089,0.005,-0.016,0.492,0.004
ensemble,P00533,Kinase,102,0.885,0.784,0.316,0.311,0.214,0.607,0.054
ensemble,P00915,Lyase,240,0.774,0.599,0.646,0.622,0.443,0.722,0.392
ensemble,P00918,Lyase,256,0.829,0.687,0.446,0.475,0.344,0.673,0.134
ensemble,P01116,Hydrolase,32,2.438,5.942,0.413,0.364,0.251,0.626,0.129
ensemble,P03372,Transcription factor,64,1.495,2.236,-0.538,-0.609,-0.44,0.279,-0.087
ensemble,P04629,Kinase,19,0.937,0.877,0.326,0.332,0.228,0.614,0.08
ensemble,P06276,Hydrolase,112,0.92,0.847,0.405,0.377,0.263,0.632,0.118
ensemble,P07333,Kinase,25,1.111,1.234,0.565,0.576,0.419,0.71,0.269
ensemble,P08183,Transporter,83,0.944,0.891,0.272,0.251,0.167,0.584,0.05
ensemble,P08684,Cytochrome p450,36,1.315,1.73,-0.514,-0.52,-0.337,0.331,-0.055
ensemble,P08908,Family A G protein-coupled receptor,46,1.038,1.077,0.859,0.832,0.623,0.811,0.519
ensemble,P0DTD1,Transferase,698,1.201,1.443,0.331,0.332,0.228,0.614,0.084
ensemble,P10275,Transcription factor,36,0.884,0.781,0.017,0.006,-0.008,0.496,0.0
ensemble,P14416,Family A G protein-coupled receptor,126,0.96,0.921,0.675,0.645,0.471,0.736,0.354
ensemble,P17931,Unclassified protein,37,1.369,1.873,-0.262,-0.331,-0.242,0.379,-0.042
ensemble,P21728,Family A G protein-coupled receptor,18,0.917,0.841,0.388,0.422,0.294,0.647,0.134
ensemble,P22303,Hydrolase,102,1.08,1.166,0.678,0.606,0.438,0.72,0.44
ensemble,P23458,Kinase,43,1.345,1.81,0.629,0.662,0.485,0.743,0.33
ensemble,P24941,Kinase,30,0.643,0.413,0.522,0.52,0.375,0.687,0.235
ensemble,P27338,Oxidoreductase,91,1.075,1.156,0.488,0.486,0.348,0.674,0.235
ensemble,P28223,Family A G protein-coupled receptor,54,1.14,1.299,0.608,0.462,0.33,0.665,0.325
ensemble,P28335,Family A G protein-coupled receptor,22,1.121,1.256,0.407,0.331,0.248,0.624,0.08
ensemble,P28907,Hydrolase|Transferase,12,1.498,2.244,0.012,0.277,0.215,0.609,0.0
ensemble,P29274,Family A G protein-coupled receptor,40,1.181,1.395,0.178,0.149,0.104,0.552,0.026
ensemble,P29597,Kinase,21,0.794,0.63,0.411,0.371,0.271,0.637,0.162
ensemble,P31153,Transferase,33,0.502,0.252,0.593,0.533,0.384,0.693,0.292
ensemble,P34972,Family A G protein-coupled receptor,27,1.359,1.847,0.242,0.2,0.128,0.564,0.043
ensemble,P35372,Family A G protein-coupled receptor,34,0.837,0.7,0.518,0.541,0.332,0.666,0.214
ensemble,P35408,Family A G protein-coupled receptor,54,1.183,1.4,0.56,0.519,0.37,0.69,0.233
ensemble,P35462,Family A G protein-coupled receptor,65,0.911,0.83,0.916,0.852,0.681,0.841,0.471
ensemble,P36544,Ion channel,31,0.685,0.469,0.167,0.137,0.084,0.542,0.01
ensemble,P37231,Transcription factor,15,1.119,1.252,0.619,0.533,0.394,0.699,0.277
ensemble,P41143,Family A G protein-coupled receptor,41,0.927,0.859,0.658,0.48,0.333,0.667,0.298
ensemble,P41145,Family A G protein-coupled receptor,34,1.073,1.151,0.658,0.578,0.408,0.704,0.358
ensemble,P42330,Oxidoreductase,60,0.615,0.378,0.41,0.305,0.21,0.606,0.105
ensemble,P42336,Transferase,38,0.974,0.949,0.616,0.617,0.441,0.721,0.333
ensemble,P42345,Kinase,52,1.112,1.235,0.334,0.39,0.265,0.633,0.069
ensemble,P42866,Family A G protein-coupled receptor,32,0.537,0.289,0.229,0.27,0.194,0.597,0.028
ensemble,P43166,Lyase,116,0.691,0.478,0.623,0.571,0.418,0.71,0.255
ensemble,P43490,Unclassified protein,17,1.386,1.922,0.83,0.521,0.373,0.689,0.663
ensemble,P49759,Kinase,20,0.635,0.403,0.291,0.25,0.19,0.596,0.061
ensemble,P49841,Kinase,16,1.71,2.924,-0.004,-0.025,0.008,0.504,0.0
ensemble,P50406,Family A G protein-coupled receptor,76,0.799,0.638,0.304,0.351,0.236,0.618,0.077
ensemble,P51449,Transcription factor,59,0.865,0.749,-0.118,0.027,0.033,0.516,0.005
ensemble,P52333,Kinase,20,0.537,0.288,0.874,0.619,0.466,0.734,0.654
ensemble,Q00987,Other nuclear protein,88,0.88,0.775,0.892,0.869,0.693,0.847,0.59
ensemble,Q03111,Epigenetic regulator,45,0.695,0.483,0.626,0.569,0.408,0.705,0.364
ensemble,Q03181,Transcription factor,18,0.543,0.295,0.54,0.517,0.386,0.693,0.252
ensemble,Q06124,Phosphatase,32,0.701,0.491,0.343,0.367,0.267,0.634,0.065
ensemble,Q12809,Ion channel,95,1.512,2.287,0.239,0.206,0.146,0.573,0.031
ensemble,Q13546,Kinase,47,1.061,1.125,0.502,0.436,0.291,0.646,-0.099
ensemble,Q13547,Epigenetic regulator,31,0.827,0.684,0.738,0.699,0.487,0.744,0.478
ensemble,Q13627,Kinase,18,1.248,1.558,0.034,0.071,0.059,0.529,0.0
ensemble,Q15910,Epigenetic regulator,36,0.619,0.383,0.405,0.367,0.266,0.633,0.107
ensemble,Q16790,Lyase,203,0.614,0.377,0.481,0.451,0.31,0.655,0.189
ensemble,Q72547,Hydrolase,23,1.178,1.387,0.341,0.365,0.182,0.591,0.093
ensemble,Q92918,Kinase,132,0.98,0.96,0.428,0.391,0.274,0.637,0.102
ensemble,Q96P20,Unclassified protein,69,1.629,2.654,0.076,0.015,0.013,0.506,0.003
ensemble,Q96SW2,Unclassified protein,21,0.367,0.135,0.212,0.273,0.188,0.595,0.019
ensemble,Q99538,Protease,40,1.699,2.885,0.391,0.418,0.288,0.644,0.102
ensemble,Q9NXA8,Epigenetic regulator,36,0.533,0.284,0.014,-0.001,-0.01,0.495,0.0
